prmid,nombre,periodo,comite_parlamentario
920,MARCELO SCHILLING,2014-2018,Partido Socialista
897,ALEJANDRA SEPÚLVEDA,2014-2018,Mixto e Independientes
898,GABRIEL SILBER,2014-2018,Partido Demócrata Cristiano
954,ERNESTO SILVA,2014-2018,Unión Demócrata Independiente
1002,LEONARDO SOTO,2014-2018,Partido Socialista
955,ARTURO SQUELLA,2014-2018,Unión Demócrata Independiente
902,JORGE TARUD,2014-2018,Partido Por la Democracia
956,GUILLERMO TEILLIER,2014-2018,Partido Comunista - Izquierda Ciudadana
957,VÍCTOR TORRES,2014-2018,Partido Demócrata Cristiano
1003,RENZO TRISOTTI,2014-2018,Unión Demócrata Independiente
958,JOAQUÍN TUMA,2014-2018,Partido Por la Democracia
905,MARISOL TURRES,2014-2018,Unión Demócrata Independiente
906,JORGE ULLOA,2014-2018,Unión Demócrata Independiente
1004,CHRISTIAN URÍZAR,2014-2018,Partido Socialista
908,IGNACIO URRUTIA,2014-2018,Unión Demócrata Independiente
1005,OSVALDO URRUTIA,2014-2018,Unión Demócrata Independiente
1006,CAMILA VALLEJO,2014-2018,Partido Comunista - Izquierda Ciudadana
911,PATRICIO VALLESPÍN,2014-2018,Partido Demócrata Cristiano
959,ENRIQUE VAN RYSSELBERGHE,2014-2018,Unión Demócrata Independiente
913,MARIO VENEGAS,2014-2018,Partido Demócrata Cristiano
915,GERMÁN VERDUGO,2014-2018,Renovación Nacional
963,MATÍAS WALKER,2014-2018,Partido Demócrata Cristiano
919,FELIPE WARD,2014-2018,Unión Demócrata Independiente
